연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
금속절단,70,0.0,0.0,120,1.3,1.12,15,높음
금속주문제작,30,1.3,4.77,40,2.6,6.35,15,높음
워터젯가공,120,3.1,2.73,120,12.4,10.81,15,높음
워터젯,980,18.5,2.0,1940,53.0,2.92,15,높음
갈바절곡,130,1.8,1.37,110,0.0,0.0,13,중간
금속절단기,1570,24.7,1.68,5930,133.3,2.44,15,높음
유리가공,350,16.3,4.93,490,23.7,5.28,15,높음
파이프밴딩,390,14.9,3.96,590,28.7,5.1,15,높음
금속레이저,40,0.7,1.63,60,0.7,1.12,15,높음
대전레이저절단,< 10,0.2,7.7,< 10,0.4,4.77,4,낮음
MDF레이저가공,10,0.3,2.29,< 10,0.0,0.0,13,중간
철강,3890,34.4,0.97,8370,84.7,1.11,15,높음
SUJ2,630,6.4,1.05,230,13.7,6.22,15,높음
레이저가공,900,22.6,2.72,730,24.0,3.47,15,높음
스텐철판,350,16.1,4.94,980,46.2,4.97,15,높음
레이저절단,360,7.8,2.26,330,9.5,3.0,15,높음
SUS304,2870,16.6,0.62,3930,32.7,0.9,15,높음
절곡,1560,9.1,0.62,1820,22.3,1.32,15,높음
밴딩,1820,8.2,0.49,3110,32.8,1.14,15,높음
철판절곡,410,7.0,1.79,730,25.1,3.75,15,높음
갈바,2710,26.8,1.05,3580,92.0,2.75,15,높음
레이저커팅,680,9.5,1.48,840,15.7,2.01,15,높음
디에스워터젯,130,21.0,22.83,60,1.0,2.09,1,낮음
스텐절곡,290,7.5,2.75,700,22.0,3.36,15,높음
스텐환봉,420,9.9,2.45,950,37.9,4.27,15,높음
CNC조각,50,0.5,0.99,50,0.5,0.91,15,높음
구로철판,820,12.6,1.62,1120,27.6,2.65,14,높음
철판절단,170,2.3,1.38,240,3.3,1.45,15,높음
파이프벤딩,120,3.8,3.15,160,6.0,3.96,15,높음
3차원가공,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
알루미늄가공,570,14.0,2.6,540,14.9,2.87,15,높음
벤딩,880,5.1,0.62,1330,16.3,1.31,15,높음
대리석가공,50,1.1,2.06,170,9.3,5.53,15,높음
POM가공,20,0.4,1.84,< 10,0.0,0.0,14,높음
CNC가공,1940,16.5,0.93,3350,54.5,1.75,15,높음
금속가공제품제조,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
금속샤링,< 10,1.3,44.45,< 10,0.0,0.0,3,높음
스텐판,970,23.7,2.56,2410,81.9,3.71,15,높음
철판레이저가공,300,10.1,3.69,440,27.7,6.65,15,높음
CNC가공견적,< 10,0.4,7.41,< 10,0.0,0.0,5,중간
갈바종류,< 10,0.0,0.0,10,0.0,0.0,1,중간
철구조물,190,4.5,2.53,180,6.0,3.49,15,높음
A105,360,4.6,1.34,240,3.0,1.35,12,중간
고주파밴딩,90,6.0,7.49,30,0.5,1.62,6,중간
